id_compra,fecha,proveedor_id,producto_id,categoria_id,unidad_organizacional,cantidad,precio_unitario,moneda,condicion_pago,lead_time_dias
OC0001,2026-06-03,PRV001,PROD001,CAT01,Mantenimiento,20,45.50,GTQ,30 dias,5
OC0002,2026-06-10,PRV004,PROD002,CAT02,Mantenimiento,50,120.00,GTQ,30 dias,3
OC0003,2026-06-15,PRV003,PROD006,CAT06,Operacion,500,28.75,GTQ,contado,1
OC0004,2026-07-02,PRV002,PROD004,CAT04,Produccion,100,310.00,GTQ,60 dias,10
OC0005,2026-07-08,PRV005,PROD005,CAT05,Produccion,15,850.00,GTQ,45 dias,7
OC0006,2026-07-19,PRV001,PROD003,CAT03,Mantenimiento,8,4200.00,GTQ,30 dias,15
OC0007,2026-08-01,PRV004,PROD002,CAT02,Mantenimiento,40,120.00,GTQ,30 dias,4
OC0008,2026-08-05,PRV003,PROD006,CAT06,Operacion,600,29.10,GTQ,contado,1
OC0009,2026-08-12,PRV002,PROD004,CAT04,Produccion,80,315.00,GTQ,60 dias,9
OC0010,2026-08-18,PRV001,PROD001,CAT01,Mantenimiento,25,46.00,GTQ,30 dias,6
